,translated,scores,compound,sentiment
178,lapenkop jatim article head of lapenkop for east java region moh faishol chusni said that the birth of the copyright law,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
179,implementation of copyright works articles of broadcasting migration from terrestrial to digital or analog switch off,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
180,thanks to the copyright law the investment work is easier,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.6908}",0.6908,positive
181,one of the effects of working copyright,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
182,the government removes fly ash and bottom ash from the list of hazardous and toxic waste types in pe regulations,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
183,"luhur pradjarto, expert staff to the minister of relations between the ministry of cooperatives and smes, stated that the uu ci","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
184,the work copyright law triggers a demand for labor,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.128}",-0.128,negative
185,"thanks to the copyright law, the investment work one by one starts to enter, hopefully it will be a good start in the future","{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.8176}",0.8176,positive
186,the impact of the legalization of the work copyright alias uu cilaka makes everything threatened all from the humanities aspect,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative
187,"let's follow the digital market, umkm indonesia virtual expo, this activity will thoroughly discuss work copyright laws and","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
188,the government has now actually ratified the rules for implementing the creation of work which consists of rules for the government,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.4019}",0.4019,positive
189,one more government regulation no year on the implementation of environmental protection and management,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.3535}",-0.3535,negative
190,the president has set implementing rules uu create work that is expected to have an immediate impact on recovery efforts per,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2732}",0.2732,positive
191,the government responds by establishing a halal industrial area kih strengthening the sharia-based industry and umkm h,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}",0.4939,positive
192,uu cipta kerja untuk indonesia maju uuciptakerja,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
193,uu create work for indonesia advanced vaccinpulihkannegeri,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.4767}",0.4767,positive
194,with the creation of work makes indonesia better for the welfare of workers and laborers,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.6124}",0.6124,positive
195,"yes, the holiday tomorrow is good, hmm, btw, you can create legal certainty for investment in the palm oil industry, you know, sim","{'neg': 0.0, 'neu': 0.55, 'pos': 0.45, 'compound': 0.8979}",0.8979,positive
196,the adjustment is a follow -up to the change in the article of the letter and copy that has been changed through the creation of the work,"{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.2732}",0.2732,positive
197,the benefits of working copyright have been felt,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.3818}",0.3818,positive
198,klo dlm bhs uu cipta kerja termnya pekerja buruh yup klo masih kerja sama org,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
199,these are just a handful of cases that i have shared before. these cases occurred before the working copyright was passed,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",0.34,positive
200,"mr. ferry how about this anti-alcoholic drink bill, really, minol will still be able to get a few pieces","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
201,we must be grateful to have a president who always thinks about nas,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.4588}",0.4588,positive
202,remove means that it was previously categorized as dangerous and is now automatically considered not,"{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
203,"the government continues to pursue a number of policies to expand the halal value chain, some of which are pengu","{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.6124}",0.6124,positive
204,this jkp program is one of the implementations of uu cipta kerja klaster ketenagakerjaan jgmas,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
205,"the government continues to pursue a number of policies to expand the halal value chain, such as","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.6124}",0.6124,positive
206,convey the work copyright law to japan the minister of industry has succeeded in bringing the manufacturing industry investment commitment of tens of trillions,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.6597}",0.6597,positive
207,"with the existence of a work copyright law, business competition in the telecommunications industry is better maintained","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404,positive
208,president joko widodo issued coal ash from the category of hazardous and toxic waste,"{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
209,that is already committed to the realization,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.2732}",0.2732,positive
210,pp of the year regulates the implementation of environmental protection and management which constitutes turu,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
211,the work creation law embodies the harmonization of licensing rules in all developed indonesian regions,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.6124}",0.6124,positive
212,stop hoax to create advanced indonesian work,"{'neg': 0.377, 'neu': 0.263, 'pos': 0.36, 'compound': -0.0516}",-0.0516,negative
213,citizens support the advanced indonesian work copyright,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.5719}",0.5719,positive
214,the government removes fly ash and bottom ash from the list of hazardous and toxic waste types in the regulations,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
215,let's give an idea how to make the president have awareness that the mineral and coal law works together with the pp,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
216,for provisions on dividends from abroad prior to the enactment of the dividend ciptaker law,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
217,"in the article on the work copyright, it is stated that the dividend can not be a tax object if you win","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.5859}",0.5859,positive
218,part or all of it can be a tax credit for dividend provisions from overseas after,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.3818}",0.3818,positive
219,derivative regulations on entrepreneur's work copyright cannot be prosecuted because of coal waste,"{'neg': 0.175, 'neu': 0.688, 'pos': 0.137, 'compound': -0.1571}",-0.1571,negative
220,considering that the current position of democrats is that parties that are outside the power of democrats are often at odds with,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.4019}",0.4019,positive
221,pp year regulates the implementation of environmental management protection which is a derivative of u,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
222,"meanwhile, dividends received after the work copyright enters into force can be non-object as long as it is invested","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
223,"hi, brother, the income from dividends and rent received before the creation of work is still valid","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.2732}",0.2732,positive
224,the key to creating the indonesian economy,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.296,positive
225,opportunities for employees with uu job creation,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.5719}",0.5719,positive
226,good news for ya who are considering the npp business location no that regulates convenience,"{'neg': 0.122, 'neu': 0.718, 'pos': 0.16, 'compound': 0.1779}",0.1779,positive
227,hello admin based on uu no year related to omnibus law copyright dividend distribution work no,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative
228,"minister of industry conveyed the work creation & succeeded, brought commitment","{'neg': 0.0, 'neu': 0.483, 'pos': 0.517, 'compound': 0.7579}",0.7579,positive
229,uu create work has been confirmed by the dpr in october last omnibus law this impact onapp und,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",0.2732,positive
230,all the benefits of creating work for the economic progress of the nation,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.765}",0.765,positive
231,derivative regulations on the work of entrepreneurs cannot be prosecuted because of indonesia's coal waste center for environmental l,"{'neg': 0.133, 'neu': 0.762, 'pos': 0.104, 'compound': -0.1571}",-0.1571,negative
232,the work copyright may or may not be successful in attracting investors which will definitely make it more difficult,"{'neg': 0.22, 'neu': 0.563, 'pos': 0.218, 'compound': -0.0168}",-0.0168,neutral
233,pp number as a derivative rule omnibus law work copyright law has been confirmed to complete,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.0772}",0.0772,positive
234,derivative regulations on the work of entrepreneurs cannot be sued because coal waste in indonesia is center for the environment,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
235,jokowi eliminating coal waste from this hazardous list is one of the derivative rules of work law,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
236,gapki pp derivatives of work related to the palm oil industry need detailed regulations,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
237,"well, the creation of work, especially in the shipping sector, provides more convenience than before, for example, ease of use","{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.6908}",0.6908,positive
238,president jokowi removes coal waste from the category of hazardous and toxic waste as listed in pp no.,"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.7783}",-0.7783,negative
239,changes in the procedures for tax audit through the government pmk also amend several provisions regarding ta,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
240,whether with the work copyright law owes dividend tax the assumption that wp op will buy ori state bonds thank you,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.5423}",0.5423,positive
241,fian indonesia attitude statement regarding pp derivative uu no year about work copyright n,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
242,pp year regulates the implementation of environmental management protection which is a derivative of da,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
243,work copyright law strengthens the legal order in indonesia,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.5423}",0.5423,positive
244,work creation encourages farmers as well as overcomes the problem of food security in indonesia,"{'neg': 0.122, 'neu': 0.45, 'pos': 0.428, 'compound': 0.7003}",0.7003,positive
245,the ministry of industry considers work creation to have a positive impact on the industrial sector,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.6908}",0.6908,positive
246,work creation accelerates economic growth,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.5719}",0.5719,positive
247,lipi economic researchers say that work creation can be a solution for indonesia to get out of the middle income trap,"{'neg': 0.097, 'neu': 0.717, 'pos': 0.186, 'compound': 0.2732}",0.2732,positive
248,work creation can make you get out of the middle income trap to create work,"{'neg': 0.124, 'neu': 0.649, 'pos': 0.227, 'compound': 0.2263}",0.2263,positive
249,umkm wins a lot lhoooo ndi uu cipta kerja uuciptakerja,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}",0.5719,positive
250,work creation accelerates the economic growth of work creation,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.7003}",0.7003,positive
251,work creation encourages the work creation industry,"{'neg': 0.0, 'neu': 0.36, 'pos': 0.64, 'compound': 0.7269}",0.7269,positive
252,"no longer do we care about the derivative rules u copyright cooperation, how's the judicial review at mkwkwkwkwkw","{'neg': 0.108, 'neu': 0.735, 'pos': 0.157, 'compound': 0.25}",0.25,positive
253,omnibus law to create a demonstration by students of pmii sidoarjo and pasuruan east java,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.3612}",0.3612,positive
254,"according to the law faculty, work creation ignores social justice and environmental sustainability","{'neg': 0.119, 'neu': 0.568, 'pos': 0.312, 'compound': 0.5267}",0.5267,positive
255,japanese business actors welcome work copyright,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}",0.4588,positive
256,"employee dismissal procedures for copying work of foreign companies, submitting a letter of dismissal to employees","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
257,support the implementation of uu copyright work n,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}",0.4019,positive
258,a number of regional strategic authorities have been amputated through the work of mining and coal works and the power of the political party elite that holds them,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.4588}",0.4588,positive
259,uu create work help umkm n,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.5859}",0.5859,positive
260,the work copyright law requires companies to provide insurance n,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
261,this is the result of your creative work demonstration of investment gas pol,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5106}",0.5106,positive
262,"instead of being confused about where and what to do, i decided to read the latest pp for this long weekend.","{'neg': 0.108, 'neu': 0.892, 'pos': 0.0, 'compound': -0.3182}",-0.3182,negative
263,bad news is the result of the omnibus law derivative work on coal waste is no longer a hazardous and toxic waste,"{'neg': 0.399, 'neu': 0.601, 'pos': 0.0, 'compound': -0.8834}",-0.8834,negative
264,a professor at the value of the rice import policy against work copyright,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}",0.34,positive
265,president jokowi removed coal waste from the category of hazardous and toxic waste,"{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.6808}",-0.6808,negative
266,the official faba waste was excluded from the waste category by president jokowi in the derivative regulation of the working law limb,"{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.7906}",-0.7906,negative
267,support the implementation of work copyright laws,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}",0.4019,positive
268,uu create work help umkm,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.5859}",0.5859,positive
269,umkm wins a lot in uu create work uuciptakerja for all,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7003}",0.7003,positive
270,uu create jobs to accelerate economic growth in indonesia for all,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.5719}",0.5719,positive
271,uu job creation can reduce the unemployment rate in indonesia for all,"{'neg': 0.193, 'neu': 0.667, 'pos': 0.14, 'compound': -0.2023}",-0.2023,negative
272,uu create good work for the people for all,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.6124}",0.6124,positive
273,work creation is present as a solution to improve the national economy in order to create prosperity for cells,"{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.8126}",0.8126,positive
274,uu create jobs for the advanced economy uuciptakerja,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.4767}",0.4767,positive
275,the legal basis for the creation of the omnibus law's extraordinary work turns out to be,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.3818}",0.3818,positive
276,the work creation law opens up a wide range of employment opportunities with the concept of facilitating business licensing,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.5719}",0.5719,positive
277,umkm absorbs the most manpower so it needs to be encouraged to create work in order to recover quickly,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",0.5574,positive
278,"while the land bank is still being criticized for this tug of war, this is the land provided","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.7506}",-0.7506,negative
279,the presence of work copyright has an important role in increasing investment growth in the regions,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.5267}",0.5267,positive
280,termination procedure and how to calculate severance pay with for example work copyright and pp no via,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.3818}",-0.3818,negative
281,hoaks uu create work you need to know,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}",0.2732,positive
282,the fact of the creation of work,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.2732}",0.2732,positive
283,wise face hoaks omnibus law uu create work,"{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.6369}",0.6369,positive
284,"come on, check with the facts on the work copyright","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
285,let's check the facts for a work copyright,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
286,alluding to the work copyright of the professor warns of concern for the ibf tvone farmers,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.1027}",-0.1027,negative
287,japanese copyright work values ​​are important to increase investor confidence,"{'neg': 0.0, 'neu': 0.373, 'pos': 0.627, 'compound': 0.8442}",0.8442,positive
288,"as for the demands brought to this action, among others, revoke the copyright of work no year confirm ru","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
289,these are just a handful of cases that i have shared before. these cases occurred before the working copyright was passed,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",0.34,positive
290,the danger has now become real after the pack officially eliminated faba as a waste in the uu ci derivative rule,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.7351}",-0.7351,negative
291,through the government work copyright law to protect oil palm,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.3818}",0.3818,positive
292,umkm wins a lot lho in uu cipta kerja omnibuslaw,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}",0.5719,positive
293,menperin japanese business actors view work creation is important,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.4404}",0.4404,positive
294,the new government podcast sj publishes the trunan rules of uu no i.e. uu copyright work in the form of pp or regulations,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
295,the omnibus law study and research team carried out fgd on the overview of trends and developments uu no year,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
296,"president jokowi issued coal waste from the hazardous category, community hazard observer","{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
297,"the ministry's director general of post and informatics, ahmadramli, said the implementation of uu","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
298,"only to him the people protect from all the impacts of work creation, including from the presidential decree that changes waste","{'neg': 0.11, 'neu': 0.706, 'pos': 0.184, 'compound': 0.2263}",0.2263,positive
299,the work copyright law makes it easy for the digitalization staff to develop in indonesia,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.4404,positive
300,the work creation law encourages the progress of startups in indonesia has the potential to make indonesia's digital economy very large,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.7783}",0.7783,positive
301,gr uu create work so work continues e because there is no battg rest,"{'neg': 0.144, 'neu': 0.719, 'pos': 0.137, 'compound': -0.0258}",-0.0258,neutral
302,"president jokowi issued coal waste from the hazardous category, observers of the dangers of the community and the government meng","{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.7184}",-0.7184,negative
303,during the year at least three controversial laws were passed,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.2023}",-0.2023,negative
304,this meeting also aims to strengthen commitment synergistically with the directorate general of binwasnaker and k as well as to socialize,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.7184}",0.7184,positive
305,the work copyright law encourages the development of the halal industry for the prosperity of muslims in indonesia omnibuslaw,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}",0.4404,positive
306,"well, the work copyright law, especially in the shipping sector, provides convenience compared to before, for example convenience","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",0.2732,positive
307,uu cipta kerja has been confirmed by the dpr in october and this omnibus law has an impact on app,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
308,ipkritisi uu create work in the field of food and agriculture,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}",0.2732,positive
309,the employment copyright law requires companies to provide insurance,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
310,uu created work also removed the provisions of the forest area even though in the last fifty years more than half of the hut,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.25}",0.25,positive
311,"through the work paperwork, the coal industry is given royalties to increase the added value of its production, even though the regulations on se","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.5719}",0.5719,positive
312,in the year the dpr amp the government passed the revision of the mineral and coal law in the midst of a pandemic in order to save the coal mining industry,"{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.4939}",0.4939,positive
313,president jokowi has officially excluded faba waste from the waste category in the derivative rules of the working law on limba,"{'neg': 0.308, 'neu': 0.692, 'pos': 0.0, 'compound': -0.7906}",-0.7906,negative
314,implementation of working law on articles of broadcasting migration from terrestrial to digital or analog switch off aso to become,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
315,president jokowi has officially excluded faba waste from the waste category in the derivative rules of the work copyright law,"{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.7906}",-0.7906,negative
316,meet the minister of industry keidanren and jetro thumbs up for work creation n,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}",0.2732,positive
317,"only to him the people take refuge from all the effects of the creation of work, including from the decision of the president who changed","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.2732}",0.2732,positive
318,the impact of work copyright laws in the plantation sector,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
319,xe x xaxe x xa uu work creation makes it easy to apply for advanced indonesian capital loans,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.7184}",0.7184,positive
320,a work copyright increases the ease of doing business in advanced indonesian indonesia,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5423}",0.5423,positive
321,work creation law is able to play a role in opening up advanced indonesian jobs,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.6705}",0.6705,positive
322,"the covid pandemic can be an example of the importance of the role of quality telecommunications in the economic sector, especially e","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612,positive
323,the covid pandemic can be an example of the importance of the role of quality telecommunications in the economic sector kh,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612,positive
324,dpr ri urged the government to immediately finish discussing the derivative regulations on work copyright,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
325,kpk is working with the ministry of marine affairs and fisheries to ensure that the derivative regulations of the working law of the men,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}",0.3818,positive
326,the work copyright law encourages the development of the halal industry in indonesia,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",0.4404,positive
327,through the work creation umkm work get support for the ease of protection and empowerment so that it can grow,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.743}",0.743,positive
328,work paperwork exists as a solution to improve the national economy in the fisheries and marine sectors,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.6369}",0.6369,positive
329,summarized from the writings of dipna videlia putsanra oktober ndg the occurrence of uu creation of work then there is a fundamental problem m,"{'neg': 0.109, 'neu': 0.806, 'pos': 0.085, 'compound': -0.1531}",-0.1531,negative
330,"according to the law faculty, work creation ignores social justice and environmental aspects of crochet","{'neg': 0.107, 'neu': 0.612, 'pos': 0.281, 'compound': 0.5267}",0.5267,positive
331,early february the president confirmed the executive rule as a derivative uu create work the amount is still mung,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",0.2732,positive
332,"according to the law faculty, work creation ignores social justice and environmental aspects","{'neg': 0.119, 'neu': 0.568, 'pos': 0.312, 'compound': 0.5267}",0.5267,positive
333,"this afternoon, i just took part in the briefing regarding the wajiamdal ukl upl samalk in relation to adjustments","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
334,"hi buddy, i like to follow the webinar series dcktrp with the theme of the role of building technical actors in the progress of the city of jakarta for those who","{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.6486}",0.6486,positive
335,uu copyright work related to the article on the migration of broadcasting from terrestrial to digital or analog switch off aso potential,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
336,"besides the implementation of the work law, joko also mentioned several other challenges that the palm oil industry will face","{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.0772}",0.0772,positive
337,"six derivatives of work laws related to the palm oil industry, namely pp on area control and","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
338,"according to him, the regulations in the six government regulations pp that have been published are in accordance with the objectives","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
339,"yes tomorrow, the holiday will be good, hmm, btw, work can provide legal certainty for investment in the palm oil industry, i see.","{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.8689}",0.8689,positive
340,uu create work for the prosperous people ikatancintaep,"{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.6369}",0.6369,positive
341,uu creation of work encourages the development of the halal industry wayv_kick_back,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6124}",0.6124,positive
342,the work creation law becomes a paradise for the lovers of the love-bond economy,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.8658}",0.8658,positive
343,derivative regulation uu cipta work guarding isramiraj marine resources,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
344,"kkp moves quickly in responding to the derivative regulations of the work copyright law, namely pp number of the year concerning","{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.0772}",0.0772,positive
345,uu create work uuciptakerja,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.2732}",0.2732,positive
346,uu cipta kerja indonesia maju,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
347,support copyright work creation,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.5859}",0.5859,positive
348,uu create work take care of marine resources create work,"{'neg': 0.0, 'neu': 0.486, 'pos': 0.514, 'compound': 0.7506}",0.7506,positive
349,uu cipta kerja encourages the development of halal industry uuciptakerja,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.4404,positive
