label,text,tokenize,remove_stopwords,stemming
Positive,esensi mpei amp uu cipta kerja jual cepat amp murah,"['esensi', 'mpei', 'amp', 'uu', 'cipta', 'kerja', 'jual', 'cepat', 'amp', 'murah']","['esensi', 'mpei', 'amp', 'uu', 'cipta', 'kerja', 'jual', 'cepat', 'amp', 'murah']","['esensi', 'mpei', 'amp', 'uu', 'cipta', 'kerja', 'jual', 'cepat', 'amp', 'murah']"
Positive,perpres no tahun turunan uu cipta kerja mengizinkan investor berburu harta karun bawah laut indonesia nartinya iz,"['perpres', 'no', 'tahun', 'turunan', 'uu', 'cipta', 'kerja', 'mengizinkan', 'investor', 'berburu', 'harta', 'karun', 'bawah', 'laut', 'indonesia', 'nartinya', 'iz']","['perpres', 'no', 'turunan', 'uu', 'cipta', 'kerja', 'mengizinkan', 'investor', 'berburu', 'harta', 'karun', 'laut', 'indonesia', 'nartinya', 'iz']","['pres', 'no', 'turun', 'uu', 'cipta', 'kerja', 'izin', 'investor', 'buru', 'harta', 'karun', 'laut', 'indonesia', 'nartinya', 'iz']"
Positive,perpres no tahun turunan uu cipta kerja mengizinkan investor berburu harta karun bawah laut indonesia na,"['perpres', 'no', 'tahun', 'turunan', 'uu', 'cipta', 'kerja', 'mengizinkan', 'investor', 'berburu', 'harta', 'karun', 'bawah', 'laut', 'indonesia', 'na']","['perpres', 'no', 'turunan', 'uu', 'cipta', 'kerja', 'mengizinkan', 'investor', 'berburu', 'harta', 'karun', 'laut', 'indonesia', 'na']","['pres', 'no', 'turun', 'uu', 'cipta', 'kerja', 'izin', 'investor', 'buru', 'harta', 'karun', 'laut', 'indonesia', 'na']"
Positive,bukti sangat nyata betapa penguasa dan para politisi memandang rendah negerinya adalah dibuatnya uu cipta kerja yan,"['bukti', 'sangat', 'nyata', 'betapa', 'penguasa', 'dan', 'para', 'politisi', 'memandang', 'rendah', 'negerinya', 'adalah', 'dibuatnya', 'uu', 'cipta', 'kerja', 'yan']","['bukti', 'nyata', 'betapa', 'penguasa', 'politisi', 'memandang', 'rendah', 'negerinya', 'uu', 'cipta', 'kerja', 'yan']","['bukti', 'nyata', 'betapa', 'kuasa', 'politis', 'pandang', 'rendah', 'negeri', 'uu', 'cipta', 'kerja', 'yan']"
Neutral,baik dari segi materiil maupun formil uu cipta kerja bertentangan dengan uud nri dan karenanya akan dibatalk,"['baik', 'dari', 'segi', 'materiil', 'maupun', 'formil', 'uu', 'cipta', 'kerja', 'bertentangan', 'dengan', 'uud', 'nri', 'dan', 'karenanya', 'akan', 'dibatalk']","['segi', 'materiil', 'formil', 'uu', 'cipta', 'kerja', 'bertentangan', 'uud', 'nri', 'dibatalk']","['segi', 'materiil', 'formil', 'uu', 'cipta', 'kerja', 'tentang', 'uud', 'nri', 'dibatalk']"
Positive,wajah ultra antroposentrisme ada di omnibuslaw atau uu cipta kerja,"['wajah', 'ultra', 'antroposentrisme', 'ada', 'di', 'omnibuslaw', 'atau', 'uu', 'cipta', 'kerja']","['wajah', 'ultra', 'antroposentrisme', 'omnibuslaw', 'uu', 'cipta', 'kerja']","['wajah', 'ultra', 'antroposentrisme', 'omnibuslaw', 'uu', 'cipta', 'kerja']"
Neutral,uu cipta kerja jamin kepastian pesangon bagi pekerja yang terdampak pemutusan hubungan kerja,"['uu', 'cipta', 'kerja', 'jamin', 'kepastian', 'pesangon', 'bagi', 'pekerja', 'yang', 'terdampak', 'pemutusan', 'hubungan', 'kerja']","['uu', 'cipta', 'kerja', 'jamin', 'kepastian', 'pesangon', 'pekerja', 'terdampak', 'pemutusan', 'hubungan', 'kerja']","['uu', 'cipta', 'kerja', 'jamin', 'pasti', 'sangon', 'kerja', 'dampak', 'putus', 'hubung', 'kerja']"
Positive,saya lupa tadi bahwa kita seratus persen juga bisa menggunakan pengujian materiil ke mk karena sudah jelas isi ay,"['saya', 'lupa', 'tadi', 'bahwa', 'kita', 'seratus', 'persen', 'juga', 'bisa', 'menggunakan', 'pengujian', 'materiil', 'ke', 'mk', 'karena', 'sudah', 'jelas', 'isi', 'ay']","['lupa', 'seratus', 'persen', 'pengujian', 'materiil', 'mk', 'isi', 'ay']","['lupa', 'ratus', 'persen', 'uji', 'materiil', 'mk', 'isi', 'ay']"
Positive,uu cipta kerja menambah jaminan untuk tenaga kerja buruh,"['uu', 'cipta', 'kerja', 'menambah', 'jaminan', 'untuk', 'tenaga', 'kerja', 'buruh']","['uu', 'cipta', 'kerja', 'menambah', 'jaminan', 'tenaga', 'kerja', 'buruh']","['uu', 'cipta', 'kerja', 'tambah', 'jamin', 'tenaga', 'kerja', 'buruh']"
Positive,bersama dukung uu cipta kerja untuk memberantas kemiskinan,"['bersama', 'dukung', 'uu', 'cipta', 'kerja', 'untuk', 'memberantas', 'kemiskinan']","['dukung', 'uu', 'cipta', 'kerja', 'memberantas', 'kemiskinan']","['dukung', 'uu', 'cipta', 'kerja', 'berantas', 'miskin']"
Negative,peraturan pemerentah menghapus limbah sawit dan batubara adala turunan uu cipta kerja ndiusulkan dan didukung oleh pengus,"['peraturan', 'pemerentah', 'menghapus', 'limbah', 'sawit', 'dan', 'batubara', 'adala', 'turunan', 'uu', 'cipta', 'kerja', 'ndiusulkan', 'dan', 'didukung', 'oleh', 'pengus']","['peraturan', 'pemerentah', 'menghapus', 'limbah', 'sawit', 'batubara', 'adala', 'turunan', 'uu', 'cipta', 'kerja', 'ndiusulkan', 'didukung', 'pengus']","['atur', 'entah', 'hapus', 'limbah', 'sawit', 'batubara', 'adala', 'turun', 'uu', 'cipta', 'kerja', 'ndiusulkan', 'dukung', 'kus']"
Neutral,implementasi undang undang uu cipta kerja pasal migrasi penyiaran dari teresterial ke digital atau analog switch,"['implementasi', 'undang', 'undang', 'uu', 'cipta', 'kerja', 'pasal', 'migrasi', 'penyiaran', 'dari', 'teresterial', 'ke', 'digital', 'atau', 'analog', 'switch']","['implementasi', 'undang', 'undang', 'uu', 'cipta', 'kerja', 'pasal', 'migrasi', 'penyiaran', 'teresterial', 'digital', 'analog', 'switch']","['implementasi', 'undang', 'undang', 'uu', 'cipta', 'kerja', 'pasal', 'migrasi', 'siar', 'teresterial', 'digital', 'analog', 'switch']"
Negative,peraturan pemerentah menghapus limbah sawit dan batubara adala turunan uu cipta kerja ndiusulkan dan didukung oleh,"['peraturan', 'pemerentah', 'menghapus', 'limbah', 'sawit', 'dan', 'batubara', 'adala', 'turunan', 'uu', 'cipta', 'kerja', 'ndiusulkan', 'dan', 'didukung', 'oleh']","['peraturan', 'pemerentah', 'menghapus', 'limbah', 'sawit', 'batubara', 'adala', 'turunan', 'uu', 'cipta', 'kerja', 'ndiusulkan', 'didukung']","['atur', 'entah', 'hapus', 'limbah', 'sawit', 'batubara', 'adala', 'turun', 'uu', 'cipta', 'kerja', 'ndiusulkan', 'dukung']"
Neutral,omnibus law uu cipta kerja bisa menjadi solusi dalam menghadapi sulitnya perekonomian global akobat pandemi covid,"['omnibus', 'law', 'uu', 'cipta', 'kerja', 'bisa', 'menjadi', 'solusi', 'dalam', 'menghadapi', 'sulitnya', 'perekonomian', 'global', 'akobat', 'pandemi', 'covid']","['omnibus', 'law', 'uu', 'cipta', 'kerja', 'solusi', 'menghadapi', 'sulitnya', 'perekonomian', 'global', 'akobat', 'pandemi', 'covid']","['omnibus', 'law', 'uu', 'cipta', 'kerja', 'solusi', 'hadap', 'sulit', 'ekonomi', 'global', 'akobat', 'pandemi', 'covid']"
Positive,sekarang izin usaha makin mudah dengan uu cipta kerja,"['sekarang', 'izin', 'usaha', 'makin', 'mudah', 'dengan', 'uu', 'cipta', 'kerja']","['izin', 'usaha', 'mudah', 'uu', 'cipta', 'kerja']","['izin', 'usaha', 'mudah', 'uu', 'cipta', 'kerja']"
Neutral,saya kasih salah satu sumber aja mungkin anda bisa nemu lebih n,"['saya', 'kasih', 'salah', 'satu', 'sumber', 'aja', 'mungkin', 'anda', 'bisa', 'nemu', 'lebih', 'n']","['kasih', 'salah', 'sumber', 'aja', 'nemu', 'n']","['kasih', 'salah', 'sumber', 'aja', 'nemu', 'n']"
Positive,pendirian usaha yang dipermudah karena tujuan dari uu cipta kerja untuk menciptakan lapangan kerja yukk kerj,"['pendirian', 'usaha', 'yang', 'dipermudah', 'karena', 'tujuan', 'dari', 'uu', 'cipta', 'kerja', 'untuk', 'menciptakan', 'lapangan', 'kerja', 'yukk', 'kerj']","['pendirian', 'usaha', 'dipermudah', 'tujuan', 'uu', 'cipta', 'kerja', 'menciptakan', 'lapangan', 'kerja', 'yukk', 'kerj']","['diri', 'usaha', 'mudah', 'tuju', 'uu', 'cipta', 'kerja', 'cipta', 'lapang', 'kerja', 'yukk', 'kerj']"
Positive,pendirian usaha yang dipermudah karena tujuan dari uu cipta kerja untuk menciptakan lapangan kerja nmantap kinerj,"['pendirian', 'usaha', 'yang', 'dipermudah', 'karena', 'tujuan', 'dari', 'uu', 'cipta', 'kerja', 'untuk', 'menciptakan', 'lapangan', 'kerja', 'nmantap', 'kinerj']","['pendirian', 'usaha', 'dipermudah', 'tujuan', 'uu', 'cipta', 'kerja', 'menciptakan', 'lapangan', 'kerja', 'nmantap', 'kinerj']","['diri', 'usaha', 'mudah', 'tuju', 'uu', 'cipta', 'kerja', 'cipta', 'lapang', 'kerja', 'nmantap', 'kinerj']"
Positive,uu cipta kerja dukung iklim usaha yang lebih baik,"['uu', 'cipta', 'kerja', 'dukung', 'iklim', 'usaha', 'yang', 'lebih', 'baik']","['uu', 'cipta', 'kerja', 'dukung', 'iklim', 'usaha']","['uu', 'cipta', 'kerja', 'dukung', 'iklim', 'usaha']"
Positive,nah guys jangan khawatir pendirian usaha yang dipermudah kok karena tujuan dari uu cipta kerja untuk menciptakan,"['nah', 'guys', 'jangan', 'khawatir', 'pendirian', 'usaha', 'yang', 'dipermudah', 'kok', 'karena', 'tujuan', 'dari', 'uu', 'cipta', 'kerja', 'untuk', 'menciptakan']","['guys', 'khawatir', 'pendirian', 'usaha', 'dipermudah', 'tujuan', 'uu', 'cipta', 'kerja', 'menciptakan']","['guys', 'khawatir', 'diri', 'usaha', 'mudah', 'tuju', 'uu', 'cipta', 'kerja', 'cipta']"
Positive,fiqih imam syafii emang kyk gimana sih uu cipta kerja ada subuh yuri gagarin bata t,"['fiqih', 'imam', 'syafii', 'emang', 'kyk', 'gimana', 'sih', 'uu', 'cipta', 'kerja', 'ada', 'subuh', 'yuri', 'gagarin', 'bata', 't']","['fiqih', 'imam', 'syafii', 'emang', 'kyk', 'gimana', 'sih', 'uu', 'cipta', 'kerja', 'subuh', 'yuri', 'gagarin', 'bata', 't']","['fiqih', 'imam', 'syafii', 'emang', 'kyk', 'gimana', 'sih', 'uu', 'cipta', 'kerja', 'subuh', 'yuri', 'gagarin', 'bata', 't']"
Positive,fiqih imam syafii emang kyk gimana sih uu cipta kerja ada subuh yuri gaga,"['fiqih', 'imam', 'syafii', 'emang', 'kyk', 'gimana', 'sih', 'uu', 'cipta', 'kerja', 'ada', 'subuh', 'yuri', 'gaga']","['fiqih', 'imam', 'syafii', 'emang', 'kyk', 'gimana', 'sih', 'uu', 'cipta', 'kerja', 'subuh', 'yuri', 'gaga']","['fiqih', 'imam', 'syafii', 'emang', 'kyk', 'gimana', 'sih', 'uu', 'cipta', 'kerja', 'subuh', 'yuri', 'gaga']"
Positive,nahkan pendirian usaha yang dipermudah karena tujuan dari uu cipta kerja untuk menciptakan lapangan kerja,"['nahkan', 'pendirian', 'usaha', 'yang', 'dipermudah', 'karena', 'tujuan', 'dari', 'uu', 'cipta', 'kerja', 'untuk', 'menciptakan', 'lapangan', 'kerja']","['nahkan', 'pendirian', 'usaha', 'dipermudah', 'tujuan', 'uu', 'cipta', 'kerja', 'menciptakan', 'lapangan', 'kerja']","['nahkan', 'diri', 'usaha', 'mudah', 'tuju', 'uu', 'cipta', 'kerja', 'cipta', 'lapang', 'kerja']"
Positive,uu cipta kerja ini nantinya akan dukung iklim usaha yang lebih baik,"['uu', 'cipta', 'kerja', 'ini', 'nantinya', 'akan', 'dukung', 'iklim', 'usaha', 'yang', 'lebih', 'baik']","['uu', 'cipta', 'kerja', 'dukung', 'iklim', 'usaha']","['uu', 'cipta', 'kerja', 'dukung', 'iklim', 'usaha']"
Positive,pendirian usaha yg telah dipermudah karena tujuan dari uu cipta kerja adalah untuk menciptakan lapangan kerja,"['pendirian', 'usaha', 'yg', 'telah', 'dipermudah', 'karena', 'tujuan', 'dari', 'uu', 'cipta', 'kerja', 'adalah', 'untuk', 'menciptakan', 'lapangan', 'kerja']","['pendirian', 'usaha', 'yg', 'dipermudah', 'tujuan', 'uu', 'cipta', 'kerja', 'menciptakan', 'lapangan', 'kerja']","['diri', 'usaha', 'yg', 'mudah', 'tuju', 'uu', 'cipta', 'kerja', 'cipta', 'lapang', 'kerja']"
Positive,langkah pemerintah dalam menyelesaikan peraturan pelaksanaan dari uu nomor tahun tentang uu cipta kerja,"['langkah', 'pemerintah', 'dalam', 'menyelesaikan', 'peraturan', 'pelaksanaan', 'dari', 'uu', 'nomor', 'tahun', 'tentang', 'uu', 'cipta', 'kerja']","['langkah', 'pemerintah', 'menyelesaikan', 'peraturan', 'pelaksanaan', 'uu', 'nomor', 'uu', 'cipta', 'kerja']","['langkah', 'perintah', 'selesai', 'atur', 'laksana', 'uu', 'nomor', 'uu', 'cipta', 'kerja']"
Positive,uu cipta kerja memang untuk menyederhanakan berbagai aturan dan juga birokrasi semangat tersebut disambut baik ole,"['uu', 'cipta', 'kerja', 'memang', 'untuk', 'menyederhanakan', 'berbagai', 'aturan', 'dan', 'juga', 'birokrasi', 'semangat', 'tersebut', 'disambut', 'baik', 'ole']","['uu', 'cipta', 'kerja', 'menyederhanakan', 'aturan', 'birokrasi', 'semangat', 'disambut', 'ole']","['uu', 'cipta', 'kerja', 'sederhana', 'atur', 'birokrasi', 'semangat', 'sambut', 'ole']"
Positive,pp sebagai implementasi uu cipta kerja saat ini dipandang sudah relatif menampung kepentingan dunia usaha di tanah,"['pp', 'sebagai', 'implementasi', 'uu', 'cipta', 'kerja', 'saat', 'ini', 'dipandang', 'sudah', 'relatif', 'menampung', 'kepentingan', 'dunia', 'usaha', 'di', 'tanah']","['pp', 'implementasi', 'uu', 'cipta', 'kerja', 'dipandang', 'relatif', 'menampung', 'kepentingan', 'dunia', 'usaha', 'tanah']","['pp', 'implementasi', 'uu', 'cipta', 'kerja', 'pandang', 'relatif', 'tampung', 'penting', 'dunia', 'usaha', 'tanah']"
Positive,pendirian usaha yang dipermudah karena tujuan dari uu cipta kerja adalah untuk menciptakan lapangan kerja,"['pendirian', 'usaha', 'yang', 'dipermudah', 'karena', 'tujuan', 'dari', 'uu', 'cipta', 'kerja', 'adalah', 'untuk', 'menciptakan', 'lapangan', 'kerja']","['pendirian', 'usaha', 'dipermudah', 'tujuan', 'uu', 'cipta', 'kerja', 'menciptakan', 'lapangan', 'kerja']","['diri', 'usaha', 'mudah', 'tuju', 'uu', 'cipta', 'kerja', 'cipta', 'lapang', 'kerja']"
Positive,upaya pendirian usaha yang dipermudah karena tujuan dari uu cipta kerja untuk menciptakan lapangan kerja luas,"['upaya', 'pendirian', 'usaha', 'yang', 'dipermudah', 'karena', 'tujuan', 'dari', 'uu', 'cipta', 'kerja', 'untuk', 'menciptakan', 'lapangan', 'kerja', 'luas']","['upaya', 'pendirian', 'usaha', 'dipermudah', 'tujuan', 'uu', 'cipta', 'kerja', 'menciptakan', 'lapangan', 'kerja', 'luas']","['upaya', 'diri', 'usaha', 'mudah', 'tuju', 'uu', 'cipta', 'kerja', 'cipta', 'lapang', 'kerja', 'luas']"
Positive,pendirian usaha yang dipermudah karena tujuan dari uu cipta kerja untuk menciptakan lapangan kerja,"['pendirian', 'usaha', 'yang', 'dipermudah', 'karena', 'tujuan', 'dari', 'uu', 'cipta', 'kerja', 'untuk', 'menciptakan', 'lapangan', 'kerja']","['pendirian', 'usaha', 'dipermudah', 'tujuan', 'uu', 'cipta', 'kerja', 'menciptakan', 'lapangan', 'kerja']","['diri', 'usaha', 'mudah', 'tuju', 'uu', 'cipta', 'kerja', 'cipta', 'lapang', 'kerja']"
Neutral,uud nri nmk lalu akan mengeluarkan keputusan bahwa uu cipta kerja tersebut secara otomatis tidak mempunyai ke,"['uud', 'nri', 'nmk', 'lalu', 'akan', 'mengeluarkan', 'keputusan', 'bahwa', 'uu', 'cipta', 'kerja', 'tersebut', 'secara', 'otomatis', 'tidak', 'mempunyai', 'ke']","['uud', 'nri', 'nmk', 'mengeluarkan', 'keputusan', 'uu', 'cipta', 'kerja', 'otomatis']","['uud', 'nri', 'nmk', 'keluar', 'putus', 'uu', 'cipta', 'kerja', 'otomatis']"
Neutral,ajukanlah pengajuan formil tersebut ke mk karena kecacatan prosedur dan inkonstitusionalitasnya maka dari aspek,"['ajukanlah', 'pengajuan', 'formil', 'tersebut', 'ke', 'mk', 'karena', 'kecacatan', 'prosedur', 'dan', 'inkonstitusionalitasnya', 'maka', 'dari', 'aspek']","['ajukanlah', 'pengajuan', 'formil', 'mk', 'kecacatan', 'prosedur', 'inkonstitusionalitasnya', 'aspek']","['aju', 'aju', 'formil', 'mk', 'cacat', 'prosedur', 'inkonstitusionalitasnya', 'aspek']"
Positive,bersama kita dukung uu cipta kerja uuciptakerja,"['bersama', 'kita', 'dukung', 'uu', 'cipta', 'kerja', 'uuciptakerja']","['dukung', 'uu', 'cipta', 'kerja', 'uuciptakerja']","['dukung', 'uu', 'cipta', 'kerja', 'uuciptakerja']"
Positive,uu cipta kerja banyak manfaatnya uuciptakerja,"['uu', 'cipta', 'kerja', 'banyak', 'manfaatnya', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'manfaatnya', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'manfaat', 'uuciptakerja']"
Positive,uu cipta kerja memicu permintaan tenaga kerja uuciptakerja,"['uu', 'cipta', 'kerja', 'memicu', 'permintaan', 'tenaga', 'kerja', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'memicu', 'permintaan', 'tenaga', 'kerja', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'picu', 'minta', 'tenaga', 'kerja', 'uuciptakerja']"
Positive,uu cipta kerja menambah jaminan sosial untuk buruh,"['uu', 'cipta', 'kerja', 'menambah', 'jaminan', 'sosial', 'untuk', 'buruh']","['uu', 'cipta', 'kerja', 'menambah', 'jaminan', 'sosial', 'buruh']","['uu', 'cipta', 'kerja', 'tambah', 'jamin', 'sosial', 'buruh']"
Neutral,lapenkop jatim artikel kepala lapenkop wilayah jawa timur moh faishol chusni mengatakan bahwa lahirnya uu cipta,"['lapenkop', 'jatim', 'artikel', 'kepala', 'lapenkop', 'wilayah', 'jawa', 'timur', 'moh', 'faishol', 'chusni', 'mengatakan', 'bahwa', 'lahirnya', 'uu', 'cipta']","['lapenkop', 'jatim', 'artikel', 'kepala', 'lapenkop', 'wilayah', 'jawa', 'timur', 'moh', 'faishol', 'chusni', 'lahirnya', 'uu', 'cipta']","['lapenkop', 'jatim', 'artikel', 'kepala', 'lapenkop', 'wilayah', 'jawa', 'timur', 'moh', 'faishol', 'chusni', 'lahir', 'uu', 'cipta']"
Neutral,implementasi uu cipta kerja pasal migrasi penyiaran dari teresterial ke digital atau analog switch off,"['implementasi', 'uu', 'cipta', 'kerja', 'pasal', 'migrasi', 'penyiaran', 'dari', 'teresterial', 'ke', 'digital', 'atau', 'analog', 'switch', 'off']","['implementasi', 'uu', 'cipta', 'kerja', 'pasal', 'migrasi', 'penyiaran', 'teresterial', 'digital', 'analog', 'switch', 'off']","['implementasi', 'uu', 'cipta', 'kerja', 'pasal', 'migrasi', 'siar', 'teresterial', 'digital', 'analog', 'switch', 'off']"
Positive,berkat uu cipta kerja investasi lebih mudah,"['berkat', 'uu', 'cipta', 'kerja', 'investasi', 'lebih', 'mudah']","['berkat', 'uu', 'cipta', 'kerja', 'investasi', 'mudah']","['berkat', 'uu', 'cipta', 'kerja', 'investasi', 'mudah']"
Neutral,salah satu efek uu cipta kerja,"['salah', 'satu', 'efek', 'uu', 'cipta', 'kerja']","['salah', 'efek', 'uu', 'cipta', 'kerja']","['salah', 'efek', 'uu', 'cipta', 'kerja']"
Negative,pemerintah menghapus fly ash dan bottom ash dari daftar jenis limbah bahan berbahaya dan beracun dalam peraturan pe,"['pemerintah', 'menghapus', 'fly', 'ash', 'dan', 'bottom', 'ash', 'dari', 'daftar', 'jenis', 'limbah', 'bahan', 'berbahaya', 'dan', 'beracun', 'dalam', 'peraturan', 'pe']","['pemerintah', 'menghapus', 'fly', 'ash', 'bottom', 'ash', 'daftar', 'jenis', 'limbah', 'bahan', 'berbahaya', 'beracun', 'peraturan', 'pe']","['perintah', 'hapus', 'fly', 'ash', 'bottom', 'ash', 'daftar', 'jenis', 'limbah', 'bahan', 'bahaya', 'racun', 'atur', 'pe']"
Neutral,luhur pradjarto staf ahli menteri bidang hubungan antar lembaga kementrian koperasi dan ukm menyatakan bahwa uu ci,"['luhur', 'pradjarto', 'staf', 'ahli', 'menteri', 'bidang', 'hubungan', 'antar', 'lembaga', 'kementrian', 'koperasi', 'dan', 'ukm', 'menyatakan', 'bahwa', 'uu', 'ci']","['luhur', 'pradjarto', 'staf', 'ahli', 'menteri', 'bidang', 'hubungan', 'lembaga', 'kementrian', 'koperasi', 'ukm', 'uu', 'ci']","['luhur', 'pradjarto', 'staf', 'ahli', 'menteri', 'bidang', 'hubung', 'lembaga', 'tri', 'koperasi', 'ukm', 'uu', 'ci']"
Negative,uu cipta kerja memicu permintaan tenaga kerja,"['uu', 'cipta', 'kerja', 'memicu', 'permintaan', 'tenaga', 'kerja']","['uu', 'cipta', 'kerja', 'memicu', 'permintaan', 'tenaga', 'kerja']","['uu', 'cipta', 'kerja', 'picu', 'minta', 'tenaga', 'kerja']"
Positive,berkat uu cipta kerja investasi satu persatu mulai masuk semoga menjadi awal yang bagus kedepannya,"['berkat', 'uu', 'cipta', 'kerja', 'investasi', 'satu', 'persatu', 'mulai', 'masuk', 'semoga', 'menjadi', 'awal', 'yang', 'bagus', 'kedepannya']","['berkat', 'uu', 'cipta', 'kerja', 'investasi', 'persatu', 'masuk', 'semoga', 'bagus', 'kedepannya']","['berkat', 'uu', 'cipta', 'kerja', 'investasi', 'satu', 'masuk', 'moga', 'bagus', 'depan']"
Negative,dampak dari disahkannya uu cipta kerja alias uu cilaka bikin cilaka segalanya terancam semua dari aspek humaniora,"['dampak', 'dari', 'disahkannya', 'uu', 'cipta', 'kerja', 'alias', 'uu', 'cilaka', 'bikin', 'cilaka', 'segalanya', 'terancam', 'semua', 'dari', 'aspek', 'humaniora']","['dampak', 'disahkannya', 'uu', 'cipta', 'kerja', 'alias', 'uu', 'cilaka', 'bikin', 'cilaka', 'terancam', 'aspek', 'humaniora']","['dampak', 'sah', 'uu', 'cipta', 'kerja', 'alias', 'uu', 'cilaka', 'bikin', 'cilaka', 'ancam', 'aspek', 'humaniora']"
Neutral,yuk ikuti pasar digital umkm indonesia virtual expo nkegiatan ini akan mengupas tuntas tentang uu cipta kerja dan,"['yuk', 'ikuti', 'pasar', 'digital', 'umkm', 'indonesia', 'virtual', 'expo', 'nkegiatan', 'ini', 'akan', 'mengupas', 'tuntas', 'tentang', 'uu', 'cipta', 'kerja', 'dan']","['yuk', 'ikuti', 'pasar', 'digital', 'umkm', 'indonesia', 'virtual', 'expo', 'nkegiatan', 'mengupas', 'tuntas', 'uu', 'cipta', 'kerja']","['yuk', 'ikut', 'pasar', 'digital', 'umkm', 'indonesia', 'virtual', 'expo', 'nkegiatan', 'kupas', 'tuntas', 'uu', 'cipta', 'kerja']"
Positive,pemerintah kini justru telah mengesahkan peraturan pelaksana uu cipta kerja yang terdiri dari peraturan pemer,"['pemerintah', 'kini', 'justru', 'telah', 'mengesahkan', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja', 'yang', 'terdiri', 'dari', 'peraturan', 'pemer']","['pemerintah', 'mengesahkan', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja', 'peraturan', 'pemer']","['perintah', 'kesah', 'atur', 'laksana', 'uu', 'cipta', 'kerja', 'atur', 'per']"
Negative,satu lagi peraturan pemerintah no tahun tentang penyelenggaraan perlindungan dan pengelolaan lingkungan hid,"['satu', 'lagi', 'peraturan', 'pemerintah', 'no', 'tahun', 'tentang', 'penyelenggaraan', 'perlindungan', 'dan', 'pengelolaan', 'lingkungan', 'hid']","['peraturan', 'pemerintah', 'no', 'penyelenggaraan', 'perlindungan', 'pengelolaan', 'lingkungan', 'hid']","['atur', 'perintah', 'no', 'selenggara', 'lindung', 'kelola', 'lingkung', 'hid']"
Positive,presiden telah menetapkan peraturan pelaksana uu cipta kerja yang diharapkan dapat segera berdampak pada upaya pemulihan per,"['presiden', 'telah', 'menetapkan', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja', 'yang', 'diharapkan', 'dapat', 'segera', 'berdampak', 'pada', 'upaya', 'pemulihan', 'per']","['presiden', 'menetapkan', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja', 'diharapkan', 'berdampak', 'upaya', 'pemulihan']","['presiden', 'tetap', 'atur', 'laksana', 'uu', 'cipta', 'kerja', 'harap', 'dampak', 'upaya', 'pulih']"
Positive,pemerintah merespon dengan pembentukan kawasan industri halal kih penguatan industri dan umkm berbasis syariah h,"['pemerintah', 'merespon', 'dengan', 'pembentukan', 'kawasan', 'industri', 'halal', 'kih', 'penguatan', 'industri', 'dan', 'umkm', 'berbasis', 'syariah', 'h']","['pemerintah', 'merespon', 'pembentukan', 'kawasan', 'industri', 'halal', 'kih', 'penguatan', 'industri', 'umkm', 'berbasis', 'syariah', 'h']","['perintah', 'merespon', 'bentuk', 'kawasan', 'industri', 'halal', 'kih', 'kuat', 'industri', 'umkm', 'bas', 'syariah', 'h']"
Neutral,uu cipta kerja untuk indonesia maju uuciptakerja,"['uu', 'cipta', 'kerja', 'untuk', 'indonesia', 'maju', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'indonesia', 'maju', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'indonesia', 'maju', 'uuciptakerja']"
Positive,uu cipta kerja untuk indonesia maju vaksinpulihkannegeri,"['uu', 'cipta', 'kerja', 'untuk', 'indonesia', 'maju', 'vaksinpulihkannegeri']","['uu', 'cipta', 'kerja', 'indonesia', 'maju', 'vaksinpulihkannegeri']","['uu', 'cipta', 'kerja', 'indonesia', 'maju', 'vaksinpulihkannegeri']"
Positive,dengan adanya uu cipta kerja menjadikan indonesia menjadi lebih baik untuk mensejahterakan para pekerja dan buruh,"['dengan', 'adanya', 'uu', 'cipta', 'kerja', 'menjadikan', 'indonesia', 'menjadi', 'lebih', 'baik', 'untuk', 'mensejahterakan', 'para', 'pekerja', 'dan', 'buruh']","['uu', 'cipta', 'kerja', 'menjadikan', 'indonesia', 'mensejahterakan', 'pekerja', 'buruh']","['uu', 'cipta', 'kerja', 'jadi', 'indonesia', 'sejahtera', 'kerja', 'buruh']"
Positive,yes besok libur kan enak nih hmm btw uu cipta kerja bisa beri kepastian hukum untuk investasi industri sawit lho kuy sim,"['yes', 'besok', 'libur', 'kan', 'enak', 'nih', 'hmm', 'btw', 'uu', 'cipta', 'kerja', 'bisa', 'beri', 'kepastian', 'hukum', 'untuk', 'investasi', 'industri', 'sawit', 'lho', 'kuy', 'sim']","['yes', 'besok', 'libur', 'enak', 'nih', 'hmm', 'btw', 'uu', 'cipta', 'kerja', 'kepastian', 'hukum', 'investasi', 'industri', 'sawit', 'lho', 'kuy', 'sim']","['yes', 'besok', 'libur', 'enak', 'nih', 'hmm', 'btw', 'uu', 'cipta', 'kerja', 'pasti', 'hukum', 'investasi', 'industri', 'sawit', 'lho', 'kuy', 'sim']"
